strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
BA754.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227705	GCA_026559755.1	Complete	291	2			99.35	0.29	unknown	NCBI	
BA755.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227706	GCA_026559775.1	Complete	361	2			99.43	0.29	unknown	NCBI	
BA781.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523109	GCA_002525695.1	Contig	239	50			99.43	0.29	unknown	NCBI	
Baan_4229.fna	Bacillus anthracis	20XX-XX-XX					A.Br.131	PRJNA1426891	SAMN55897429					49.8175	15473	95.07	0.48	unknown	this study	czech republic
Baan_A12.fna	Bacillus anthracis	1964-XX-XX	Czech_Republic	Czech_Republic	Homo sapiens		A.Br.072	PRJNA1426891	SAMN55897430					49.8175	15473	95.56	0.48	clinical	this study	czech republic
Baan_A17.fna	Bacillus anthracis	1959-XX-XX	Czech_Republic	Stipa	Hominoidea 		A.Br.113	PRJNA1426891	SAMN55897431					49.8175	15473	98.48	0.29	clinical	this study	czech republic
Baan_A2.fna	Bacillus anthracis	1954-XX-XX	Czech_Republic	Czech_Republic	Bos taurus		A.Br.140_(L1)	PRJNA1426891	SAMN55897432					49.8175	15473	96.11	0.07	clinical	this study	czech republic
Baan_A21.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.129	PRJNA1426891	SAMN55897433					49.8175	15473	98.34	0.67	unknown	this study	czech republic
Baan_A22.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.129	PRJNA1426891	SAMN55897434					49.8175	15473	98.26	0.29	unknown	this study	czech republic
Baan_A25.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.129	PRJNA1426891	SAMN55897435					49.8175	15473	98.22	0.57	unknown	this study	czech republic
Baan_A26.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.129	PRJNA1426891	SAMN55897436					49.8175	15473	97.03	0.74	unknown	this study	czech republic
Baan_A27.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.110	PRJNA1426891	SAMN55897437					49.8175	15473	98.18	0.77	unknown	this study	czech republic
Baan_A28.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.113	PRJNA1426891	SAMN55897438					49.8175	15473	97.01	0.96	unknown	this study	czech republic
Baan_A31.fna	Bacillus anthracis	1963-XX-XX	Slovakia	Kosice			A.Br.113	PRJNA1426891	SAMN55897439					49.8175	15473	94.86	0.67	unknown	this study	czech republic
Baan_A49.fna	Bacillus anthracis	1971-XX-XX				Dust	A.Br.110	PRJNA1426891	SAMN55897440					49.8175	15473	99.4	0.29	environment	this study	czech republic
Baan_A5.fna	Bacillus anthracis	1957-XX-XX			Bos taurus		A.Br.110	PRJNA1426891	SAMN55897441					49.8175	15473	96.46	0.55	clinical	this study	czech republic
Baan_A50.fna	Bacillus anthracis	1971-XX-XX				Dust	A.Br.110	PRJNA1426891	SAMN55897442					49.8175	15473	99.43	0.29	environment	this study	czech republic
Baan_A54.fna	Bacillus anthracis	1973-XX-XX	Czech_Republic	Tyn nad Vltavou	Sus scrofa		A.Br.015	PRJNA1426891	SAMN55897443					49.8175	15473	99.15	0.48	clinical	this study	czech republic
Baan_A57.fna	Bacillus anthracis	1959-XX-XX	Czech_Republic	Korycany	Bos taurus		A.Br.110	PRJNA1426891	SAMN55897444					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A6.fna	Bacillus anthracis	1958-XX-XX			Bos taurus		A.Br.113	PRJNA1426891	SAMN55897445					49.8175	15473	93.3	0.48	clinical	this study	czech republic
Baan_A60.fna	Bacillus anthracis	1957-XX-XX	Czech_Republic	Strilky		Skin	A.Br.110	PRJNA1426891	SAMN55897446					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A61.fna	Bacillus anthracis	1961-XX-XX	USA	USA		Skin	A.Br.073	PRJNA1426891	SAMN55897447					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A62.fna	Bacillus anthracis	1961-XX-XX	USA	USA		Skin	A.Br.073	PRJNA1426891	SAMN55897448					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A63.fna	Bacillus anthracis	1961-XX-XX	USA	USA		Skin	A.Br.073	PRJNA1426891	SAMN55897449					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A77.fna	Bacillus anthracis	1957-XX-XX	Turkey	Turkey	Capra sp.	Skin	A.Br.028	PRJNA1426891	SAMN55897450							97.86	0.77	clinical	this study	czech republic
Baan_A78.fna	Bacillus anthracis	1957-XX-XX	Turkey	Turkey	Capra sp.	Skin	A.Br.026	PRJNA1426891	SAMN55897451							97.7	0.65	clinical	this study	czech republic
Baan_A79.fna	Bacillus anthracis	1960-XX-XX	Nigeria	Nigeria	Capra sp.	Skin	A.Br.073	PRJNA1426891	SAMN55897452							98.16	0.77	clinical	this study	czech republic
Baan_A80.fna	Bacillus anthracis	1960-XX-XX	Nigeria	Nigeria	Capra sp.	Skin	A.Br.073	PRJNA1426891	SAMN55897453							98.35	0.77	clinical	this study	czech republic
Baan_A88.fna	Bacillus anthracis	1958-XX-XX	Indonesia	Indonesia		Skin	A.Br.129	PRJNA1426891	SAMN55897454					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A89.fna	Bacillus anthracis	1957-XX-XX	Mongolia	Mongolia		Skin	A.Br.073	PRJNA1426891	SAMN55897455					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A91.fna	Bacillus anthracis	1960-XX-XX	USA	USA	Bos taurus	Skin	A.Br.065	PRJNA1426891	SAMN55897456					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A92.fna	Bacillus anthracis	1960-XX-XX	USA	USA	Bos taurus	Skin	A.Br.073	PRJNA1426891	SAMN55897457					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A93.fna	Bacillus anthracis	1960-XX-XX	USA	USA	Bos taurus	Skin	A.Br.065	PRJNA1426891	SAMN55897458					49.8175	15473	99.41	0.29	clinical	this study	czech republic
Baan_A98.fna	Bacillus anthracis	1959-XX-XX	Czech_Republic	Hustopece	Bos taurus		A.Br.129	PRJNA1426891	SAMN55897459					49.8175	15473	99.43	0.29	clinical	this study	czech republic
Baan_A99.fna	Bacillus anthracis	1960-XX-XX	USA	USA	Bos taurus		A.Br.065	PRJNA1426891	SAMN55897460					49.8175	15473	99.21	0.29	clinical	this study	czech republic
BANT014-SEQ-1-ASM-1.fna	Bacillus anthracis	1978-01-19	Pakistan	Pakistan	Ovis sp.		A.Br.163	PRJNA237808	SAMN03010430	GCA_000832425.1	Complete	322	2	30.3308401	71.247499	99.43	0.31	clinical	NCBI	
BANT015-SEQ-1-ASM-1.fna	Bacillus anthracis	1996-02-01	Indonesia	West Java	Capra sp.		A.Br.081_(Ames)	PRJNA257008	SAMN03862112	GCA_001276995.1	Contig	445936	28	-6.8891904	107.6404716	99.43	0.29	clinical	NCBI	
BAP350.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA888965	SAMN31227699	GCA_026689595.1	Scaffold	68	23			99.43	0.29	unknown	NCBI	
BAP417.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523106	GCA_002525765.1	Contig	193	60			99.43	0.29	unknown	NCBI	
BAP482.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523107	GCA_002525775.1	Contig	213	53			99.43	0.29	unknown	NCBI	
BF1.fna	Bacillus anthracis	2009-07-XX	Germany	Bad_Feilnbach	Bos taurus	Carcass	B.Br.004_(FrenchB)	PRJNA695105	SAMN02469407	GCA_022221085.1	Complete	122	3	51.1638175	10.4478313	99.43	0.29	clinical	NCBI	
BF5.fna	Bacillus anthracis	2021-09-XX	Germany	Bad_Feilnbach	Bos taurus	Carcass	B.Br.004_(FrenchB)	PRJNA171093	SAMN22566405	GCA_021390035.1	Complete	200	3	47.77	12.01	99.43	0.29	clinical	NCBI	
BFV.fna	Bacillus anthracis	20XX-XX-XX	Jamaica	Jamaica		Charcoal	A.Br.078	PRJNA243518	SAMN02736972	GCA_000742875.1	Chromosome	848	3	18.1850507	-77.3947693	99.4	0.29	environment	NCBI	
BHY1401.fna	Bacillus anthracis	2021-06-12	China	Hongyuan	Homo sapiens	Skin Eschar	A.Br.081_(Ames)	PRJNA975313	SAMN35323095	GCA_030166675.1	Complete	456	3	32.78	102.54	99.43	0.29	clinical	NCBI	
BUL-12.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Jambol		Soil	A.Br.130	PRJNA695105	SAMN13164716	GCA_022221025.1	Complete	91	3	42.483935	26.5105553	99.43	0.29	clinical	NCBI	
BUL-14.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Jambol		Soil	A.Br.130	PRJNA695105	SAMN13164717	GCA_022220905.1	Complete	70	1	42.483935	26.5105553	99.43	0.29	clinical	NCBI	
BUL-16.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Jambol		Soil	A.Br.130	PRJNA695105	SAMN13164718	GCA_022220625.1	Complete	68	3	42.483935	26.5105553	99.43	0.29	clinical	NCBI	
BUL-19.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Tarnovo		Soil	A.Br.130	PRJNA695105	SAMN13164720	GCA_022220585.1	Complete	53	3	43.0820584	25.6321312	99.43	0.29	clinical	NCBI	
BUL-2.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897461					42.7249925	25.4833039	99.43	0.29	clinical	this study	bulgaria
BUL-3.fna	Bacillus anthracis	1961-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897462					43.7249925	26.4833039	99.43	0.29	clinical	this study	bulgaria
BUL-31.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Silistra		Soil	A.Br.130	PRJNA695105	SAMN13164723	GCA_022220605.1	Complete	66	3	44.118308	27.2600031	99.43	0.29	clinical	NCBI	
BUL-32.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Silistra		Soil	A.Br.130	PRJNA695105	SAMN13164724	GCA_022221005.1	Complete	55	2	44.118308	27.2600031	99.43	0.29	clinical	NCBI	
BUL-33.fna	Bacillus anthracis	1962-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897463					44.7249925	27.4833039	99.43	0.29	clinical	this study	bulgaria
BUL-34.fna	Bacillus anthracis	1963-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897464					45.7249925	28.4833039	99.43	0.29	clinical	this study	bulgaria
BUL-35.fna	Bacillus anthracis	1964-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897465					46.7249925	29.4833039	99.43	0.29	clinical	this study	bulgaria
BUL-36.fna	Bacillus anthracis	1965-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA1426891	SAMN55897466					47.7249925	30.4833039	99.43	0.29	clinical	this study	bulgaria
Bundesheer.fna	Bacillus anthracis	2001-XX-XX	Austria	Vienna		Mailbag	A.Br.001	PRJNA1426891	SAMN44019342					48.2083537	16.3725042	99.43	0.29	unknown	this study	our mailbag
C.fna	Bacillus anthracis	1960-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.076	PRJNA514245	SAMEA3736006	GCA_029695585.1	Contig	129	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
Canadian-Bison.fna	Bacillus anthracis	20XX-XX-XX	Canada	Canada	Bos bison		A.Br.009_018_(WNA)	PRJNA238044	SAMN03202901	GCA_000833125.1	Complete	434	3	61.0666922	-107.991707	99.43	0.29	clinical	NCBI	
Carbosap_2012.fna	Bacillus anthracis	20XX-XX-XX	Italy	Rome		Vaccine Strain	A.Br.134	PRJNA177917	SAMN02470598	GCA_000310045.1	Contig	75	21	41.8933203	12.4829321	99.43	0.29	unknown	NCBI	
Carbosap_2014.fna	Bacillus anthracis	20XX-XX-XX					A.Br.134	PRJNA231912	SAMN02910129	GCA_000732465.1	Scaffold	30	94			99.43	0.29	unknown	NCBI	
Cattle_Vel_2013.fna	Bacillus anthracis	2013-XX-XX	India	Tamil Nadu	Bos indicus	Carcass	A.Br.015	PRJNA736214	SAMN19613164	GCA_021014295.1	Scaffold	350	145	12.9165	79.1325	99.43	0.44	clinical	NCBI	
CDC-684.fna	Bacillus anthracis	20XX-XX-XX					A.Br.055	PRJNA31329	SAMN02603931	GCA_000021445.1	Complete		3			99.43	0.29	unknown	NCBI	
ChBA30D.fna	Bacillus anthracis	1965-XX-XX	China	Heibei	Homo sapiens		A.Br.081_(Ames)	PRJNA801920	SAMN25419190	GCA_022014795.1	Complete	470	2	38.04	114.5	99.43	0.29	clinical	NCBI	
Chemnitz1878.fna	Bacillus anthracis	1878-XX-XX	Germany	Chemnitz	Bos taurus		A.Br.081_(Ames)	PRJNA1426891						50.833332	12.916667			clinical		german genomes
CHN-NX-BA-2019-01.fna	Bacillus anthracis	2019-08-20	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074355	SAMN39856588	GCA_036621115.1	Scaffold		29			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2019-02.fna	Bacillus anthracis	2019-08-20	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074356	SAMN39856634	GCA_036621095.1	Scaffold		42			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2020-01.fna	Bacillus anthracis	2020-06-19	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074342	SAMN39856504	GCA_036621045.1	Scaffold		25			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2020-02.fna	Bacillus anthracis	2020-09-20	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074350	SAMN39856508	GCA_036621035.1	Scaffold		27			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2021-01.fna	Bacillus anthracis	2021-07-12	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074324	SAMN39856322	GCA_036620945.1	Scaffold		24			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2021-02.fna	Bacillus anthracis	2021-08-13	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074326	SAMN39856337	GCA_036620935.1	Scaffold		24			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2021-03.fna	Bacillus anthracis	2021-08-14	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074328	SAMN39856413	GCA_036621015.1	Scaffold		29			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2021-04.fna	Bacillus anthracis	2021-08-15	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074335	SAMN39856418	GCA_036620995.1	Scaffold		28			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2021-05.fna	Bacillus anthracis	2021-08-17	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074338	SAMN39856471	GCA_036621055.1	Scaffold		31			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2022-01.fna	Bacillus anthracis	2022-05-11	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074303	SAMN39855707	GCA_036620845.1	Scaffold		91			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2022-02.fna	Bacillus anthracis	2022-08-13	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074309	SAMN39855711	GCA_036620875.1	Scaffold		29			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2022-03.fna	Bacillus anthracis	2022-08-13	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074312	SAMN39855928	GCA_036620915.1	Scaffold		148			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2022-04.fna	Bacillus anthracis	2022-08-30	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074314	SAMN39856170	GCA_036620895.1	Scaffold		150			99.43	0.43	clinical	NCBI	
CHN-NX-BA-2022-05.fna	Bacillus anthracis	2022-09-08	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074319	SAMN39856215	GCA_036620955.1	Scaffold		51			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2023-04.fna	Bacillus anthracis	2023-08-11	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074138	SAMN39853666	GCA_036575505.1	Scaffold		80			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2023-05.fna	Bacillus anthracis	2023-08-13	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074140	SAMN39853667	GCA_036575555.1	Scaffold		107			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2023-06.fna	Bacillus anthracis	2023-08-22	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074141	SAMN39853668	GCA_036575385.1	Scaffold		165			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2023-07.fna	Bacillus anthracis	2023-08-22	China	China	Homo sapiens		A.Br.085	PRJNA1074287	SAMN39855498	GCA_036620835.1	Scaffold		222			99.43	0.29	clinical	NCBI	
CHN-NX-BA-2023-08.fna	Bacillus anthracis	2023-08-24	China	China	Homo sapiens		A.Br.081_(Ames)	PRJNA1074289	SAMN39855509	GCA_036620795.1	Scaffold		136			99.43	0.43	clinical	NCBI	
CHN-NX-BA-2023-09.fna	Bacillus anthracis	2023-08-24	China	China	Homo sapiens		B.Br.006	PRJNA1074299	SAMN39855656	GCA_036620805.1	Scaffold		197			99.43	0.4	clinical	NCBI	
CNEVA-9066.fna	Bacillus anthracis	20XX-XX-XX					A.Br.051	PRJNA10796	SAMN02435891	GCA_000167235.1	Scaffold		30			99.4	0	unknown	NCBI	
COVASU.fna	Bacillus anthracis	2017-03-XX	India	Maharashtra	Ovis aries	Blood	A.Br.114	PRJNA407276	SAMN07644999	GCA_003045745.2	Scaffold	450	56	18.9068356	75.6741579	99.39	0.29	clinical	NCBI	
Cvac02.fna	Bacillus anthracis	2012-08-XX	China	Liaoning		Veterinarian Vaccine	A.Br.114	PRJNA252785	SAMN02898388	GCA_000747335.1	Complete	101.9	1	41.8	123.38	98.63	0.29	unknown	NCBI	
CVCC40202.fna	Bacillus anthracis	1950-11-29	China	China			A.Br.077	PRJNA832093	SAMN27776999	GCA_024396775.1	Complete	193.8	3	35.000074	104.999927	99.43	0.29	unknown	NCBI	
CVCC40205.fna	Bacillus anthracis	1954-11-20	India	India			A.Br.039	PRJNA832097	SAMN27777120	GCA_024396795.1	Complete	164	2	22.3511148	78.6677428	99.43	0.29	unknown	NCBI	
CZC5.fna	Bacillus anthracis	2011-XX-XX	Zambia	Zambia	Hippopotamus amphibius		A.Br.165	PRJDB1571	SAMD00002586	GCA_000534935.2	Complete	25	3	-14.5189121	27.5589884	99.43	0.29	clinical	NCBI	
D.fna	Bacillus anthracis	1973-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.134	PRJNA514245	SAMEA3735735	GCA_029695565.1	Contig	146	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
DB.fna	Bacillus anthracis	2011-XX-XX					A.Br.015	PRJNA514245	SAMD00135673	GCA_029695885.1	Contig	60	44			99.43	0.29	unknown	NCBI	
DK5.fna	Bacillus anthracis	1974-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.077	PRJNA514245	SAMEA3735958	GCA_029695625.1	Contig	130	60	55.670249	10.3333283	99.2	6.61	clinical	NCBI	
DP-B-5747.fna	Bacillus anthracis	20XX-XX-XX					A.Br.041/042	PRJNA888965	SAMN31227707	GCA_026559795.1	Complete	247	2			99.43	2.59	unknown	NCBI	
DS201579.fna	Bacillus anthracis	2015-03-05	South Africa	Pafuri	Connochaetes taurinus		A.Br.044_(DK_CMR)	PRJNA316704	SAMN04589793	GCA_002233635.1	Scaffold	140	31	-22.45039875	31.3101484860243	99.43	0.29	clinical	NCBI	
E.fna	Bacillus anthracis	1937-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.038	PRJNA514245	SAMEA3735739	GCA_029695485.1	Contig	130	62	55.670249	10.3333283	99.43	1.05	clinical	NCBI	
FL16-03_I.fna	Bacillus anthracis	2016-11-24	Tanzania	Tanzania		Carcass	A.Br.038	PRJNA514245	SAMEA8914742	GCA_029698345.1	Contig	49	115	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
FL16-06_I.fna	Bacillus anthracis	2016-11-25	Tanzania	Tanzania		Carcass	A.Br.038	PRJNA514245	SAMEA8914743	GCA_029698385.1	Contig	94	65	-6.5247123	35.7878438	99.43	0.86	clinical	NCBI	
FL16-11-MKK_I.fna	Bacillus anthracis	2016-11-XX	Tanzania	Tanzania		Carcass	A.Br.149	PRJNA514245	SAMEA8914744	GCA_029698325.1	Contig	62	65	-6.5247123	35.7878438	99.43	1.44	clinical	NCBI	
Gmb1.fna	Bacillus anthracis	20XX-XX-XX					A.Br.114	PRJEB1518	SAMEA2272630	GCA_000359465.1	Contig		39			99.28	0.29	unknown	NCBI	
Gumma1.fna	Bacillus anthracis	20XX-XX-XX	Japan	Gumma			A.Br.048	PRJNA514245	SAMD00115653	GCA_029702505.1	Contig	43	46	-30.7213889	152965	99.43	0.29	unknown	NCBI	
H9401.fna	Bacillus anthracis	20XX-XX-XX	South Korea	South Korea	Homo sapiens	Skin	A.Br.089	PRJNA49361	SAMN02603474	GCA_000258885.1	Complete		3	36.638392	127.6961188	99.43	0	clinical	NCBI	
Han.fna	Bacillus anthracis	2012-08-XX	China	Liaoning	Bos taurus		A.Br.169	PRJNA252784	SAMN02898318	GCA_000747375.1	Complete	26.2	1	41.8	123.38	99.39	0.29	clinical	NCBI	
HeroinBa4599.fna	Bacillus anthracis	2009-12-16	United Kingdom	Glasgow	Homo sapiens	Heroin User	A.Br.134	PRJNA72893	SAMN02470707	GCA_000278385.1	Contig	50	46	55.861155	-4.2501687	99.43	0.38	clinical	NCBI	
HG.fna	Bacillus anthracis	2015-XX-XX					A.Br.067	PRJNA514245	SAMD00135674	GCA_029695845.1	Contig	112	45			99.4	0.86	unknown	NCBI	
HKI4363-88.fna	Bacillus anthracis	1988-XX-XX	Finland	Ostrobothnia	Bos taurus		B.Br.002_(KrugerB)	PRJNA309927	SAMN08812793	GCA_003063945.1	Scaffold	52	31	62.9651857	21.2099367431475	99.43	0.29	clinical	NCBI	
HYU01.fna	Bacillus anthracis	2009-XX-XX	South Korea	Changnyeong		Soil	A.Br.015	PRJNA231762	SAMN02874036	GCA_000725325.1	Complete	200	3	35.5443876	128.4921938	99.43	0.29	environment	NCBI	
IOVBA.fna	Bacillus anthracis	2013-09-06	India	India		Soil	A.Br.101	PRJNA495856	SAMN10232964	GCA_022059355.1	Contig	224	35	26.5058	78.0549	99.35	0.29	environment	NCBI	
JB10.fna	Bacillus anthracis	2009-XX-XX	South Africa	Northern Cape Province	Equus burchellii quagga	Jaw Bone	A.Br.101	PRJNA510736	SAMN10614344	GCA_009669055.1	Scaffold	60	1379	-29.573402	21.2051361	97.8	1.94	clinical	NCBI	
JB25.fna	Bacillus anthracis	2009-XX-XX	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Jaw Bone	A.Br.050	PRJNA510736	SAMN10614345	GCA_009669025.1	Scaffold	80	142	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	
JF3788.fna	Bacillus anthracis	1981-XX-XX	Switzerland	Switzerland	Homo sapiens	Skin	A.Br.146	PRJNA514245	SAMEA3889839	GCA_029695805.1	Contig	70	409	46.7985624	8.2319736	98.85	0.86	clinical	NCBI	
K0021.fna	Bacillus anthracis	1995-12-11	Italy	Italy	Ovis sp.		A.Br.050	PRJNA257008	SAMN03757457	GCA_001273045.1	Contig	417017	31	42.6384261	12.674297	99.43	0.29	clinical	NCBI	
K1129.fna	Bacillus anthracis	1995-10-25	Pakistan	Pakistan	Capra sp.	Hair	A.Br.100	PRJNA257008	SAMN03757460	GCA_001273105.1	Contig	535189	36	30.3308401	71.247499	98.85	0.29	clinical	NCBI	
K1285.fna	Bacillus anthracis	1996-01-25	Namibia	Namibia	Equus zebra		A.Br.165	PRJNA257008	SAMN03757454	GCA_001272985.1	Contig	275141	36	-23.2335499	17.3231107	99.43	0.29	clinical	NCBI	
K169-66.fna	Bacillus anthracis	1966-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.120	PRJNA514245	SAMEA3735924	GCA_029695785.1	Contig	139	63	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
K2129.fna	Bacillus anthracis	1997-10-01	China	Changping			A.Br.097	PRJNA257008	SAMN03757455	GCA_001273005.1	Contig	310573	28	40.2196456	116.2250912	99.43	0.29	unknown	NCBI	
K2883.fna	Bacillus anthracis	1997-03-05	India	India	Homo sapiens		A.Br.045	PRJNA257008	SAMN03757456	GCA_001273025.1	Contig	301222	32	22.3511148	78.6677428	99.43	0.29	clinical	NCBI	
K3.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Homo sapiens		A.Br.001	PRJNA238080	SAMN03010428	GCA_000832465.1	Complete	450	3	-28.8166236	24.991639	99.43	0.29	clinical	NCBI	
K35-88.fna	Bacillus anthracis	1988-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.113	PRJNA514245	SAMEA3735929	GCA_029695645.1	Contig	136	66	55.670249	10.3333283	99.43	0.29	clinical	NCBI	
K3974.fna	Bacillus anthracis	1995-12-11	Slovakia	Slovakia			A.Br.015	PRJNA257008	SAMN03757459	GCA_001273085.1	Contig	351586	41	48.7411522	19.4528646	99.43	0.29	unknown	NCBI	
K4834.fna	Bacillus anthracis	1997-10-01	Australia	Australia	Bos sp.		A.Br.001	PRJNA257008	SAMN03757458	GCA_001273065.1	Contig	333831	69	-24.7761086	134755	99.43	0.29	clinical	NCBI	
K670-88.fna	Bacillus anthracis	1988-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.072	PRJNA514245	SAMEA3735948	GCA_029695025.1	Contig	132	66	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
K8215.fna	Bacillus anthracis	1996-03-11	Argentina	Buenos Aires	Bos sp.		A.Br.035_036	PRJNA257008	SAMN03757461	GCA_001273125.1	Contig	311854	42	-34.6075682	-58.4370894	99.43	0.29	clinical	NCBI	
K836.fna	Bacillus anthracis	1968-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.078	PRJNA514245	SAMEA3735959	GCA_029695665.1	Contig	148	60	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
K929.fna	Bacillus anthracis	1966-XX-XX	Denmark	Denmark	Bos taurus	Clinical Sample	A.Br.026	PRJNA514245	SAMEA3736003	GCA_029695685.1	Contig	131	64	55.670249	10.3333283	99.43	0.86	clinical	NCBI	
Kafkas-100.fna	Bacillus anthracis	2009-XX-XX	Turkey	Digor		Soil	A.Br.026	PRJNA421249	SAMN08366820	GCA_002896575.1	Contig	58	79	40.3765095	43.4119469	99.43	0.29	environment	NCBI	
Kafkas-149.fna	Bacillus anthracis	2012-XX-XX	Turkey	Selim		Soil	A.Br.026	PRJNA421249	SAMN08366821	GCA_002896585.1	Contig	88	31	40.9284552	30.2375472	99.43	0.29	environment	NCBI	
Kafkas-215.fna	Bacillus anthracis	2014-XX-XX	Turkey	Selim		Soil	A.Br.094	PRJNA421249	SAMN08366822	GCA_002896655.1	Contig	64	28	40.9284552	30.2375472	99.43	0.29	environment	NCBI	
